shot_id,time,summary.ip,summary.line_average_n_e,summary.power_nbi,summary.power_radiated,summary.greenwald_density,summary.neutron_rates_total,equilibrium.q95,equilibrium.whmd,equilibrium.li,equilibrium.beta_normal,equilibrium.beta_pol,equilibrium.beta_tor,equilibrium.q_axis,equilibrium.elongation,equilibrium.triangularity_lower,equilibrium.triangularity_upper,equilibrium.major_radius,equilibrium.minor_radius,equilibrium.vloop_dynamic,equilibrium.vloop_static,magnetics.ip,gas_injection.inboard_total,gas_injection.outboard_total,gas_injection.pressure,gas_injection.total_injected,spectrometer_visible.density_gradient,spectrometer_visible.filter_spectrometer_dalpha_voltage,spectrometer_visible.filter_spectrometer_bes_voltage,derived.net_power,derived.rad_fraction
24136,0.0,-8988.2431640625,0.0,364.2548828125,2449.14501953125,,0.0,,,,,,,,,,,,,,,-8988.2431640625,0.0,1.1744662748642247e+22,1.3808079338471424e+18,8.926637597969193e+19,0.0,,,-2084.89013671875,0.8702192668112565
24136,0.005,195951.18750000012,3.858180254552039e+18,141.3431091308587,5968.008300781247,,0.0,,,,,,,,,,,,,,,195951.18750000012,0.0,1.3577879998561172e+22,1.8016759710702628e+18,1.5429240844003865e+20,0.0,,,-5826.665191650389,0.9767045952709116
24136,0.01,196772.421875,7.095467942166398e+18,97.34515380859463,5874.374511718746,3.745535178335217e+19,0.0,14.920331954956053,,0.5995960235595705,,0.2572175562381743,0.3597671389579772,7.442268848419185,1.527619957923889,0.14125363528728485,0.14125363528728493,,0.4060034155845642,3.020556688308716,3.0872769355773926,196772.421875,0.0,1.230288392245482e+22,2.0294244116012728e+18,2.1990035523036303e+20,0.0,,,-5777.029357910152,0.9835342759553555
24136,0.015,200268.3125,7.472416812051726e+18,185.55799865722656,3486.168701171875,3.782245232758751e+19,0.0,12.738312721252441,,0.8264511227607727,,0.15244317054748535,0.23056378960609436,3.2431178092956543,1.4031741619110107,0.14306803047657013,0.21757099032402039,,0.4068630337715149,3.0169661045074463,3.1396400928497314,200268.3125,0.0,9.44929398626191e+21,1.9394003852486246e+18,2.746475900443065e+20,0.0,,,-3300.6107025146484,0.9492044973926572
24136,0.02,207647.37500000003,8.00069201702368e+18,193.70324707031276,3220.1025390624986,3.904232969227941e+19,0.0,13.316537857055666,,0.7051668167114256,,0.16212955117225647,0.24757689237594607,4.508380413055427,1.4552619457244875,0.21772775053977966,0.21772775053977966,,0.4069445729255676,3.0702712535858154,3.159839391708374,207647.375,0.0,6.143084406218926e+21,1.6098768878431114e+18,3.136516831202183e+20,1.0029099435344842e+20,,,-3026.3992919921857,0.9429826293896468
24136,0.025,228808.15625000003,7.8695637105393e+18,294.60229492187375,1781.6937255859416,4.0553951472285385e+19,0.0,14.265499114990234,,0.572469413280487,,0.1682339906692505,0.2632331550121308,7.792710304260256,1.5418835878372195,0.22099830210208893,0.22099830210208893,,0.4086530804634094,2.989975690841675,3.136916160583496,228808.15625000003,3.3108708760260654e+20,3.7071352185202567e+21,1.3295761895509197e+18,3.383298609658368e+20,1.7175680484502825e+20,,,-1487.091430664068,0.8576985215378159
24136,0.03,252494.140625,7.448154438717407e+18,109.8016357421875,2925.766845703125,4.375314328102057e+19,0.0,14.334161758422852,,0.5205773711204529,,0.16917018592357635,0.3028934597969055,9.375980377197266,1.6252316236495972,0.22949916124343872,0.22949916124343872,,0.4131616950035095,2.859313726425171,3.094326972961426,252494.140625,1.1653428545915999e+21,2.237125537986903e+21,1.0850968928969032e+18,3.564638159716766e+20,2.2457641105752693e+20,,,-2815.9652099609375,0.9635109050168863
24136,0.035,281897.03125,7.536392445869687e+18,126.7002944946289,4308.87353515625,4.506552915602702e+19,0.0,14.334161758422852,,0.5205773711204529,,0.16917018592357635,0.3028934597969055,9.375980377197266,1.6252316236495972,0.22949916124343872,0.22949916124343872,,0.4131616950035095,2.6519455909729004,3.029832363128662,281897.03125,2.303243587803771e+21,1.3500261866358325e+21,8.923773809983488e+17,3.7382090004179504e+20,8.902985783441778e+19,,,-4182.173240661621,0.9712164613059808
24136,0.04,305660.90624999994,7.993654043094287e+18,197.049301147461,3581.1296386718714,4.8317796590058185e+19,0.0,13.549214363098146,,0.522273600101471,,0.18291099369525907,0.4444978535175321,8.59890937805176,1.6969143152236938,0.19418719410896307,0.19418719410896307,,0.4326736330986023,2.4848380088806152,2.9608514308929443,305660.90624999994,3.62438467159206e+21,8.14693220923233e+20,7.535773695701158e+17,3.938814105257308e+20,1.1109206002304549e+20,,,-3384.0803375244104,0.9475946219268122
24136,0.045,333524.3125,8.17934506435124e+18,325.0599365234345,4504.000488281251,4.831779659005824e+19,0.0,13.117333412170408,,0.5177993774414064,,0.1883925646543503,0.5243190526962284,8.200561523437495,1.7203246355056763,0.2075417637825013,0.2075417637825013,,0.4400292038917542,2.484838008880614,2.9608514308929443,333524.31249999977,5.056103481456105e+21,4.916386902841351e+20,6.853101357105153e+17,4.187456785153269e+20,1.7437195366927486e+20,,,-4178.940551757816,0.9324936112912874
