shot_id,status,n_pairs,m6_mse,m7_mse,delta_m7_minus_m6,m7_beats_m6,mean_rad_fraction,mean_net_power_mw,mean_activation_gate,error_type,error
27411,USABLE,8220,0.3702295527124945,0.35670405261557525,-0.013525500096919274,True,0.4201447206456651,0.9854391358794709,0.0801146538387159,,
21333,USABLE,11230,2.0088833413050593,1.9597488366566542,-0.049134504648405075,True,0.46081437584251494,0.8773728595041588,0.16706904430755218,,
24432,USABLE,6800,0.5475704599656224,0.5069978008502525,-0.04057265911536989,True,0.9891821036324564,-0.15282664120795503,0.3337371368321251,,
24136,USABLE,8151,0.30404967635465313,0.3050107862610366,0.0009611099063834838,False,0.2510488101351607,1.3698505447883513,0.04171021896615146,,
29420,USABLE,5831,0.5949455074076855,0.4994281477880963,-0.09551735961958918,True,0.20006364480143035,2.7182507117771197,0.08356572941901437,,
27042,USABLE,5571,0.503945183151655,0.47959311537687005,-0.02435206777478499,True,0.2918401588013191,1.9442932929682573,0.05810252061197375,,
20013,USABLE,2656,1.1019071725171388,1.2156333411162001,0.11372616859906137,False,0.9971071300953509,-0.05682906373139712,0.05259409835186613,,
23626,USABLE,9505,0.6565851400050993,0.6329728053605577,-0.0236123346445416,True,0.9989504946986966,-0.13708049516859458,0.6335751860133768,,
22399,USABLE,4788,0.6972396684092599,0.7124129992672801,0.015173330858020195,False,0.7646063947328012,0.1570722427919239,0.38206756488520816,,
21971,USABLE,5772,0.6313508779021559,0.6221704627711269,-0.009180415131029074,True,0.5908350369426575,0.4706595551810459,0.26662187339044746,,
15052,USABLE,8272,0.6607265259679657,0.6471542197975738,-0.013572306170391846,True,0.9999935109572405,-0.18505955868148985,0.42384413106973434,,
14624,USABLE,6612,0.8887165893494248,0.8366543148096875,-0.05206227453973722,True,0.3038118945950551,1.1765649021387217,0.008124216952252713,,
29369,USABLE,12170,0.7071645147579353,0.5299332072124004,-0.17723130754553484,True,0.26120234112327606,2.35407153849848,0.2912236619612117,,
15570,USABLE,6778,1.6237695253764348,1.6340694357857388,0.010299910409304003,False,0.999979048966409,-0.40199219305053707,0.7187255446505314,,
24126,USABLE,7322,0.3070664894803955,0.38690335108134266,0.07983686160094716,False,0.3418575048107288,2.064930670267097,0.021192050627699105,,
15133,USABLE,6282,0.8090063160582558,0.7960170792077467,-0.012989236850509123,True,0.999994272386458,-0.19498761977013399,0.5862887130183863,,
27935,USABLE,10226,0.5247136649181805,0.5405475127133406,0.01583384779516006,False,0.3700157456070798,0.8551748653313099,0.12824870921519574,,
13479,USABLE,5217,2.360835968399399,2.4272373152341027,0.06640134683470356,False,0.7378056802422989,0.23606291712553593,0.03586485206805574,,
20918,USABLE,10039,0.6706491299619213,0.6531324866378955,-0.017516643324025805,True,0.3288904590880366,1.2008001099076113,0.28808938545980445,,
16139,USABLE,5388,1.1722183249922982,1.2173626939777227,0.04514436898542451,False,0.42965093437362756,0.5647146433018573,0.2995419507903953,,
22213,USABLE,4832,0.9167143437135221,0.8690088727597459,-0.0477054709537762,True,0.9989880468622537,-0.18142929509873737,0.25339839998230945,,
12010,USABLE,5508,0.23186568499262097,0.23514025520505324,0.0032745702124322706,False,0.9999936242368925,-0.226731206041271,0.45280029125213866,,
14373,USABLE,5645,0.6656451758443315,0.6479841496614347,-0.017661026182896777,True,0.15410133443746463,1.3778590282922967,0.06279098718612873,,
13905,USABLE,4192,0.367648185293067,0.39045818681541855,0.022810001522351575,False,0.9999890500469771,-0.15423249340993836,0.07576488200404705,,
20505,USABLE,8302,0.627341196985397,0.6478617210552762,0.020520524069879142,False,0.9998209678440536,-0.14750114001792364,0.26447910953325854,,
14612,USABLE,5974,0.9185604126565348,0.8730239912569039,-0.04553642139963088,True,0.3843913203571453,0.951690599524447,0.037671677634971784,,
24430,USABLE,8904,0.4790845595733157,0.5021681486367295,0.023083589063413845,False,0.34906909439023037,1.1556247073860402,0.31213203731457906,,
30468,USABLE,3294,0.4927568394295017,0.4867026220994838,-0.00605421733001793,True,0.25597011613905846,1.4500429733932487,0.19592471323993282,,
21707,USABLE,6910,0.475039633400679,0.5152246086171298,0.04018497521645081,False,0.9976860191906969,-0.07285653053348952,0.5389837845935205,,
20479,USABLE,8736,0.5670436229518908,0.577842254091757,0.010798631139866233,False,0.3884314826834651,1.0487227047354408,0.30852815196525435,,
