shot_id,m5,m6,u_mean
15340,0.6443007692049431,0.6335709039358094,-0.0229463431886875
18743,0.9014418915610152,0.8788613483017343,0.3852012058087264
23457,0.4366440685624108,0.4437903524918438,-0.9533506411849876
17921,0.4685749699837861,0.4820291635692819,-0.6713400656269702
17098,0.3813208698356413,0.3734101886557714,-0.3615999027133859
12168,0.2662462944363316,0.2661895633009957,-0.4583609301880725
13365,0.4109601581020034,0.4120060961803778,-0.1724877871655107
24821,1.2903261998896949,1.322899650965442,-0.7411579289966352
27731,0.4982620653395493,0.4973682952524774,-0.3987845141995481
13797,0.3046187220309822,0.3097483598290321,-0.5089774051094724
13632,0.7849281745398303,0.7984073232934249,-0.3901663648204016
20708,0.7011614073761712,0.7050864141931339,-0.6700038634164435
15325,0.6393486542093969,0.6253631488615743,0.2087837455237841
24896,0.4965401365361884,0.4890766718148397,-0.5172408318925639
24619,0.4848778276837235,0.4637917064320399,-0.4117684638283493
16265,0.5768460005246632,0.5843738909625773,-0.4347969062791214
20107,0.4059913306379135,0.3904175537649625,-0.3859355902018544
17820,0.5527275589721293,0.5032860398860189,0.0214116623073707
18578,0.7780134106940528,0.8054383148762823,-0.7013520905792231
16396,0.55328252578073,0.5489476948624694,-0.3899216807764552
17994,0.4891432002129591,0.5019828708500645,-0.6365919996414124
21066,0.9012906009719822,0.8886461033722575,-0.0412398453963514
13696,0.4660369764582782,0.4513326318270982,-0.2311042788359126
14621,0.6333049793008679,0.6667310308057095,-0.9707948086152692
20508,0.5646573092171399,0.5465865738142984,-0.3176097665331286
15109,0.6075182839113336,0.5842391031375844,-0.1625022462442314
22657,0.5805643348824919,0.5911880960516018,-0.4505865411176878
23530,0.4460945962538412,0.4336531706870794,-0.4789448245655025
20036,1.0280776443273278,0.9941366000157538,0.4492418274458146
17823,0.5945295275026437,0.5641133479574141,-0.0527938926880337
