shot_id,time,summary.ip,summary.line_average_n_e,summary.power_nbi,summary.power_radiated,summary.greenwald_density,summary.neutron_rates_total,equilibrium.q95,equilibrium.whmd,equilibrium.li,equilibrium.beta_normal,equilibrium.beta_pol,equilibrium.beta_tor,equilibrium.q_axis,equilibrium.elongation,equilibrium.triangularity_lower,equilibrium.triangularity_upper,equilibrium.major_radius,equilibrium.minor_radius,equilibrium.vloop_dynamic,equilibrium.vloop_static,magnetics.ip,gas_injection.inboard_total,gas_injection.outboard_total,gas_injection.pressure,gas_injection.total_injected,spectrometer_visible.density_gradient,spectrometer_visible.filter_spectrometer_dalpha_voltage,spectrometer_visible.filter_spectrometer_bes_voltage,derived.net_power,derived.rad_fraction
22399,0.0,12504.6708984375,0.0,136.46347045898438,13896.2578125,,0.0,,,,,,,,,,,,,,,12504.6708984375,0.0,1.18205089958667e+22,1.7472519322017464e+18,8.173955918058855e+19,0.0,,,-13759.794342041016,0.9902047740804212
22399,0.005,-135119.5781250001,6.380481369146917e+18,137.73904418945096,116416.43750000019,,7268069888.0,,,,,,,,,,,,,,,-135119.57812499994,0.0,1.4182251809555222e+22,2.428399797925838e+18,1.4857959231271915e+20,0.0,,,-116278.69845581074,0.9988096706787034
22399,0.01,-136186.48437499997,9.119291166657875e+18,81.82271575927653,132688.81249999994,2.7312856195397583e+19,0.0,20.60749053955078,,0.4996927082538606,,0.07335915416479105,0.047482520341873134,17.1132583618164,1.4952400922775269,0.13803391158580783,0.13803391158580788,,0.40483835339546204,-3.223558187484741,-3.37782883644104,-136186.48437499997,0.0,1.307211675320821e+22,2.8719524092974203e+18,2.1781603302782062e+20,0.0,,,-132606.98978424066,0.9993762017344692
22399,0.015,-129022.84375,9.50951993798348e+18,26.321979522705078,84517.0859375,2.505814267589873e+19,0.0,20.3091983795166,,0.5993056893348694,,0.023057080805301666,0.014350548386573792,9.882070541381836,1.408516764640808,0.15197815001010895,0.22563643753528595,,0.41152870655059814,-3.141512393951416,-3.203489065170288,-129022.84375,0.0,1.0069279777164056e+22,2.864071934583243e+18,2.7621287238979446e+20,3.160380147786318e+19,,,-84490.7639579773,0.9996768328007037
22399,0.02,-133731.15625000003,9.107298243577908e+18,-31.979063034057283,75135.62499999999,2.202124098244654e+19,0.0,20.84781455993652,,0.6073826551437379,,0.09540580958127975,0.06168249249458317,9.487057685852045,1.3432430028915405,0.20894408226013178,0.20894408226013178,,0.4408681988716126,-2.9470705986022945,-3.083209753036499,-133731.15625,0.0,6.364311353014527e+21,2.4643005018401674e+18,3.171492559964528e+20,4.848954910240984e+19,,,-75167.60406303404,0.9999866909113897
22399,0.025,-153096.73437500003,8.995298690637756e+18,-181.95773315429386,71510.70312499996,2.25251757487586e+19,0.0,19.168560028076172,,0.6550996303558348,,0.09673594683408736,0.08079616725444794,6.925987243652345,1.3303048610687256,0.18842646479606634,0.18842646479606634,,0.46760413050651556,-2.7345786094665523,-3.021402597427368,-153096.73437500003,1.2546549174784492e+19,3.8782770709099163e+21,2.040803944631894e+18,3.421488078967307e+20,3.662254649210254e+19,,,-71692.66085815425,0.999986016274871
22399,0.03,-174895.46875,7.620072427569021e+18,-162.07887268066406,60359.13671875,2.3032560782558626e+19,0.0,18.61962890625,,0.5935685634613037,,0.08357253670692444,0.08345188945531845,7.875339031219482,1.3528411388397217,0.2238432765007019,0.2238432765007019,,0.48878738284111023,-2.428774118423462,-2.912325859069824,-174895.46875,4.6554972467086806e+20,3.596368622735126e+21,1.6465225108852572e+18,3.6089233214900955e+20,6.79637999864156e+19,,,-60521.215591430664,0.9999834327744376
22399,0.035,-197744.21875,7.304233314443854e+18,-123.6401138305664,65176.3125,2.369856356280487e+19,0.0,18.61962890625,,0.5935685634613037,,0.08357253670692444,0.08345188945531845,7.875339031219482,1.3528411388397217,0.2238432765007019,0.2238432765007019,,0.48878738284111023,-2.183985710144043,-2.840447187423706,-197744.21875,1.3733776321787252e+21,4.800568112699213e+21,1.323482696109785e+18,3.85917498272168e+20,1.793252799406848e+20,,,-65299.95261383057,0.9999846572379001
22399,0.04,-218389.45312499997,6.944970638847116e+18,46.43129730224487,69160.11718749997,2.3680285281504723e+19,0.0,18.715608596801758,,0.5035635232925416,,0.05409417301416401,0.07187921553850175,10.597770690917965,1.4176901578903198,0.2285616248846054,0.2285616248846054,,0.5315954089164734,-2.053274631500244,-2.753883123397827,-218389.4531249999,2.5556768208423443e+21,6.772526630438622e+21,1.1256659857438152e+18,4.243748262058192e+20,2.3183602014280168e+20,,,-69113.68589019772,0.9993146513878806
22399,0.045,-253877.5937500001,7.256749805286723e+18,188.2512359619187,80539.78125000007,2.3680285281504756e+19,0.0,16.752298355102536,,0.5126317739486695,,0.05838281288743018,0.10549726337194447,8.50799942016601,1.4272183179855347,0.25819489359855646,0.20331570506095897,,0.552349627017975,-2.0532746315002433,-2.7538831233978263,-253877.59374999988,3.831352940492423e+21,8.884378211603229e+21,1.0486135852588072e+18,4.7961242561356425e+20,1.5065105462726335e+20,,,-80351.53001403816,0.9976557227290588
